lincs_id	chembl_id
BRD-A34037822	CHEMBL1865136
BRD-A34037822	CHEMBL2974701
BRD-A34205397	CHEMBL404849
BRD-A34208323	CHEMBL1699345
BRD-A34208323	CHEMBL2897504
BRD-A34255068	CHEMBL1135144
BRD-A34255068	CHEMBL618299
BRD-A34255068	CHEMBL63
BRD-A34299591	CHEMBL1370
BRD-A34299591	CHEMBL836922
BRD-A34309505	CHEMBL135400
BRD-A34309505	CHEMBL842406
BRD-A34578416	CHEMBL302753
BRD-A34578416	CHEMBL4033754
BRD-A34578416	CHEMBL714141
BRD-A34706053	CHEMBL446167
BRD-A34706053	CHEMBL809982
BRD-A34751532	CHEMBL1377575
BRD-A34751532	CHEMBL1948281
BRD-A34806832	CHEMBL1551716
BRD-A34806832	CHEMBL2416010
BRD-A34817987	CHEMBL3751809
BRD-A34817987	CHEMBL64391
BRD-A34817987	CHEMBL706766
BRD-A34907681	CHEMBL1158424
BRD-A34907681	CHEMBL32579
BRD-A34907681	CHEMBL659673
BRD-A35020550	CHEMBL2144976
BRD-A35033682	CHEMBL307893
BRD-A35033682	CHEMBL724796
BRD-A35108200	CHEMBL1393513
BRD-A35108200	CHEMBL2027620
BRD-A35141262	CHEMBL1525595
BRD-A35141262	CHEMBL2341239
BRD-A35207501	CHEMBL1328485
BRD-A35207501	CHEMBL1794385
BRD-A35258977	CHEMBL1145020
BRD-A35258977	CHEMBL16105
BRD-A35258977	CHEMBL858452
BRD-A35338386	CHEMBL277076
BRD-A35338386	CHEMBL635088
BRD-A35623999	CHEMBL1495071
BRD-A35623999	CHEMBL3081775
BRD-A35713041	CHEMBL1622119
BRD-A35713041	CHEMBL2821781
BRD-A35869383	CHEMBL3182647
BRD-A35869383	CHEMBL4021967
BRD-A36074203	CHEMBL1143217
BRD-A36074203	CHEMBL25843
BRD-A36074203	CHEMBL651699
BRD-A36151937	CHEMBL1364260
BRD-A36151937	CHEMBL1919225
BRD-A36217750	CHEMBL1914329
BRD-A36217750	CHEMBL672801
BRD-A36217750	CHEMBL832
BRD-A36267905	CHEMBL114655
BRD-A36267905	CHEMBL793969
BRD-A36275421	CHEMBL1499544
BRD-A36275421	CHEMBL3076776
BRD-A36318220	CHEMBL195008
BRD-A36411721	CHEMBL1391417
BRD-A36411721	CHEMBL2026665
BRD-A36471396	CHEMBL1617470
BRD-A36471396	CHEMBL2821055
BRD-A36630025	CHEMBL10206
BRD-A36630025	CHEMBL1121970
BRD-A36630025	CHEMBL618662
BRD-A37052580	CHEMBL306319
BRD-A37052580	CHEMBL731026
BRD-A37288617	CHEMBL1194666
BRD-A37288617	CHEMBL1264188
BRD-A37347161	CHEMBL128444
BRD-A37347161	CHEMBL819779
