compound_name	synonyms	species	strain	dosage	avg_lifespan_change	max_lifespan_change	gender	significance	pubmed_id	Comment	pref_name	chembl_id	pubchem_cid	DrugBank_id
Nicotinamide adenine dinucleotide	NAD	Caenorhabditis elegans	N2	100 µM	15	NA	NA	NA	19370397	NA	NA	CHEMBL1234613	NA	DB14128
Royal Jelly	NA	Mus musculus	C3H/HeJ	500 ppm ad libitum in diet	23.6	NA	Male	NA	12954483	Mix	NA	NA	NA	NA
Edetate Calcium Disodium	ethylene diamine tetra-acetic acid (di-sodium salt); EDTA	Mytilina brevispina	NA	0.25% on alternate days	49.4	NA	NA	NA	804507	NA	EDETATE CALCIUM DISODIUM	CHEMBL1200375, CHEMBL3989522	NA	DB14598, DBSALT000837
Picolinic acid	NA	Caenorhabditis elegans	N2	1 mM	7	NA	NA	NA	25643626	NA	NA	CHEMBL72628	NA	NA
Tyrphostin 1	NA	Drosophila melanogaster	Oregon R	100-300 µM	19	NA	NA	NA	22363408	NA	TYRPHOSTIN 1	CHEMBL77456	2063	NA
Aurintricarboxylic acid	ATA	Drosophila melanogaster	Oregon R	0.5 mM	15	0	Male	NA	15621204	NA	AURINTRICARBOXYLIC ACID	CHEMBL275938	2259	NA
Juglone	5-hydroxy-1,4-naphthalenedione	Caenorhabditis elegans	N2	40µm	29	NA	NA	NA	19597959	NA	JUGLONE	CHEMBL43612	3806	NA
Kenpaullone	NA	Caenorhabditis elegans	NA	88 µM	27	NA	NA	NA	24134630	NA	KENPAULLONE	CHEMBL296586	3820	NA
Diiodomethane	Methylene iodide	Drosophila melanogaster	NA	10 µg/ml	29.3	NA	NA	NA	412727	NA	Diiodomethane	NA	6346	NA
Lithocholic acid	NA	Saccharomyces cerevisiae	BY4741	50 µM	100	NA	NA	NA	20622262	NA	LITHOCHOLIC ACID	CHEMBL1478	9903	NA
Tyrosol	NA	Caenorhabditis elegans	fer-15(b26)	250 µM	19.1	10.8	NA	NA	22824366	NA	TYROSOL	CHEMBL53566	10393	NA
